Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average
Space Hulk (Third Edition),2009,2,2,60,12,6707,7
Gùgōng,2018,1,5,90,12,6130,7
Mythic Battles: Pantheon,2017,2,4,90,14,2543,8
Nippon,2015,2,4,120,12,4196,7
Tiny Towns,2019,1,6,60,14,10174,7
San Juan (Second Edition),2014,2,4,60,10,5841,7
Gizmos,2018,2,4,50,14,7386,7
Codenames: Pictures,2016,2,8,15,10,17032,7
Advanced Squad Leader,1985,2,2,480,14,3490,7
Lost Cities,1999,2,2,30,10,37280,7
Calico,2020,1,4,45,13,2986,8
Mice and Mystics,2012,1,4,90,7,16743,7
Sword & Sorcery,2017,1,5,90,12,3632,8
Too Many Bones: Undertow,2018,1,2,180,12,1651,8
Pandemic Legacy: Season 0,2020,2,4,60,14,1536,8
The Manhattan Project,2012,2,5,120,13,9105,7
Macao,2009,2,4,100,12,6962,7
Fresco,2010,2,4,60,10,11842,7
Blood Bowl: Living Rulebook,2004,2,2,120,12,3354,7
Arkham Horror,2005,1,8,240,14,36786,7
Innovation,2010,2,4,60,12,14865,7
The Godfather: Corleone's Empire,2017,2,5,90,14,5727,7
Dice Forge,2017,2,4,45,10,14853,7
Maria,2009,2,3,210,14,2775,7
London (Second Edition),2017,2,4,90,14,4458,7
Santa Maria,2017,1,4,90,12,5220,7
A Few Acres of Snow,2011,2,2,120,14,7427,7
Stockpile,2015,2,5,45,13,5525,7
Abyss,2014,2,4,60,14,10215,7
Monikers,2015,4,16,60,17,3491,7
Firefly: The Game,2013,1,4,240,13,10524,7
Flash Point: Fire Rescue,2011,2,6,45,10,20947,7
Thunderstone Quest,2018,2,4,90,14,3159,7
Lancaster,2011,2,5,60,10,6675,7
Glen More,2010,2,5,70,10,8686,7
Newton,2018,1,4,90,14,4335,7
Quadropolis,2016,2,4,60,8,11050,7
Risk Legacy,2011,3,5,60,13,7555,7
Heroscape Master Set: Rise of the Valkyrie,2004,2,4,90,8,7803,7
Pandemic: Fall of Rome,2018,1,5,60,8,3858,7
Millennium Blades,2016,2,5,120,12,3895,7
Kingsburg,2007,2,5,90,13,18339,7
The Great Zimbabwe,2012,2,5,150,14,3192,7
Carpe Diem,2018,2,4,75,10,4687,7
Downforce,2017,2,6,40,10,7914,7
Star Realms: Frontiers,2018,1,4,45,12,2643,8
Pandemic: The Cure,2014,2,5,30,8,9398,7
BattleLore,2006,2,2,60,10,9091,7
Amerigo,2013,2,4,90,10,5501,7
Chinatown,1999,3,5,60,12,8468,7
Nusfjord,2017,1,5,100,12,4124,7
Spartacus: A Game of Blood and Treachery,2012,3,4,180,17,7172,7
Lord of the Rings: The Confrontation,2005,2,2,30,14,5656,7
Sheriff of Nottingham,2014,3,5,60,14,29603,7
Biblios,2007,2,4,30,10,15008,7
Amun-Re,2003,3,5,90,12,8564,7
BattleCON: Devastation of Indines,2013,1,5,45,10,2919,7
Twice as Clever!,2019,1,4,30,10,4915,7
Awkward Guests,2016,1,8,75,12,3648,7
Commands & Colors: Napoleonics,2010,2,2,90,14,2644,8
Pandemic: Reign of Cthulhu,2016,2,4,40,14,7890,7
1775: Rebellion,2013,2,4,120,10,3712,7
Skull,2011,3,6,45,10,14213,7
Descent: Journeys in the Dark,2005,2,5,240,13,11319,7
